epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.065,1.5199,2.88307,0.00433,0.70845,0.64489,0.71674,0.45059,1.35922,1.61996,0.00491,0.000665658,0.000665658,0.000665658
2,368.341,1.52554,1.48401,0.00462,0.75694,0.68147,0.77115,0.48047,1.39312,1.1433,0.0051,0.001332,0.001332,0.001332
3,539.467,1.54458,1.24085,0.0046,0.78103,0.72114,0.80107,0.49933,1.39746,0.98544,0.00523,0.00199704,0.00199704,0.00199704
4,708.891,1.52315,1.14791,0.00445,0.78405,0.73648,0.81569,0.51765,1.36695,0.94309,0.00504,0.00199561,0.00199561,0.00199561
5,877.934,1.49569,1.09111,0.00447,0.81883,0.75578,0.84547,0.54488,1.31775,0.85823,0.00478,0.00199219,0.00199219,0.00199219
6,1046.79,1.48954,1.03629,0.00443,0.83759,0.74751,0.8472,0.54403,1.36117,0.82852,0.00495,0.00198781,0.00198781,0.00198781
7,1215.97,1.4695,0.98649,0.00432,0.84095,0.75355,0.85328,0.55763,1.30722,0.83133,0.00468,0.00198246,0.00198246,0.00198246
8,1384.62,1.46709,0.99255,0.00432,0.83507,0.76152,0.85469,0.55264,1.30411,0.79234,0.0047,0.00197616,0.00197616,0.00197616
9,1553.9,1.45727,0.95537,0.00427,0.83124,0.76105,0.85516,0.55647,1.32357,0.81398,0.00472,0.0019689,0.0019689,0.0019689
10,1723.76,1.44821,0.94887,0.00418,0.84916,0.76887,0.86815,0.56945,1.29653,0.76978,0.00466,0.00196069,0.00196069,0.00196069
11,1893.08,1.43713,0.93083,0.00422,0.84197,0.77957,0.87056,0.56443,1.30903,0.76543,0.00471,0.00195155,0.00195155,0.00195155
12,2062.93,1.43324,0.90865,0.00405,0.86419,0.77989,0.88081,0.57329,1.31467,0.73811,0.00463,0.00194147,0.00194147,0.00194147
13,2232.91,1.42109,0.90879,0.00412,0.85836,0.78361,0.88376,0.57535,1.2886,0.72659,0.00455,0.00193048,0.00193048,0.00193048
14,2401.88,1.42188,0.88689,0.00414,0.84755,0.79929,0.88691,0.58948,1.2691,0.71014,0.00441,0.00191858,0.00191858,0.00191858
